Year,D2Area,,,,arizona area ,california,colorado area,area nevada,new mexico,utah ,wyoming ,total
1979,0.00487395,,,,113998,163696,104185,110567,121697,84899,97914,796956
1980,0.061005284,,,,,,,,,,,
1981,0.017254434,,,,1985,0.230747819,,1979,0.00487395,,,
1984,0.045597015,,,,1986,0.001082769,,1980,0.061005284,,,
1985,0.231,,,,1987,0.027079367,,1981,0.017254434,,,
1986,0.001,,,,1988,0.137975046,,1984,0.045597015,,,
1987,0.027,,,,1989,0.274650928,,,,,,
1988,0.138,,,,1990,0.00769748,,1993,0.002250823,,,
1989,0.275,,,,1992,0.094831639,,,,,,
1990,0.008,,,,1997,0.041162089,,,,,,
1992,0.094831639,,,,1998,0.008,,2010,0.005,,,
1993,0.002250823,,,,1999,0.012,,2011,0.225,,,
1997,0.041162089,,,,2000,0.08,,2012,0.684,,,
1998,0.008,,,,2001,0.144,,2013,0.733,,,
1999,0.012,,,,2002,0.657,,2014,0.523,,,
1999,0.012,,,,2003,0.69,,2015,0.33,,,
2000,0.08,,,,2004,0.6,,2016,0.162,,,
2000,0.08,,,,2005,0.06,,2017,0.002,,,
2001,0.144,,,,2006,0.189,,2018,0.44,,,
2001,0.144,,,,2007,0.504,,2019,0.004,,,
2001,0.144,,,,2008,0.13,,2020,0.498,,,
2002,0.657,,,,2009,0.098,,,,,,
2002,0.657,,,,,,,,,,,
2002,0.657,,,,,,,,,,,
2002,0.657,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,1979,1,1,,,,,
2004,0.6,,,,1980,1,1,,,,,
2004,0.6,,,,1981,1,1,,,,,
2004,0.6,,,,1984,1,1,,,,,
2004,0.6,,,,1985,1,1,,,,,
2004,0.6,,,,1986,1,1,,,,,
2004,0.6,,,,1987,1,1,,,,,
2004,0.6,,,,1988,1,1,,,,,
2004,0.6,,,,1989,1,1,,,,,
2004,0.6,,,,1990,1,1,,,,,
2004,0.6,,,,1992,1,1,,,,,
2004,0.6,,,,1993,1,1,,,,,
2005,0.06,,,,1997,1,1,,,,,
2005,0.06,,,,1998,4,1,,,,,
2005,0.06,,,,1999,5,2,,,,,
2005,0.06,,,,2000,6,2,,,,,
2005,0.06,,,,2001,10,3,,,,,
2005,0.06,,,,2002,15,4,,,,,
2005,0.06,,,,2003,21,6,,,,,
2005,0.06,,,,2004,41,11,,,,,
2005,0.06,,,,2005,49,13,,,,,
2005,0.06,,,,2006,48,12,,,,,
2005,0.06,,,,2007,55,14,,,,,
2005,0.06,,,,2008,56,14,,,,,
2005,0.06,,,,2009,57,15,,,,,
2006,0.189,,,,2010,58,15,,,,,
2006,0.189,,,,2011,66,17,,,,,
2006,0.189,,,,2012,67,17,,,,,
2006,0.189,,,,2013,70,18,,,,,
2006,0.189,,,,2014,67,17,,,,,
2006,0.189,,,,2015,71,18,,,,,
2006,0.189,,,,2016,68,17,,,,,
2006,0.189,,,,2017,69,18,,,,,
2006,0.189,,,,2018,69,18,,,,,
2006,0.189,,,,2019,69,18,,,,,
2006,0.189,,,,2020,73,19,,,,,
2006,0.189,,,,,,302,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2011,0.225,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2012,0.684,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2013,0.733,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2014,0.523,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2015,0.33,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2016,0.162,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2017,0.002,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2018,0.44,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2019,0.004,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
2020,0.498,,,,,,,,,,,
