TrialID,Dropout Rate,Learning Rate,Layers,Nodes,Objective,Loss
486,0.2,0.00093,4,128,0.163,0.0452
346,0.5,0.00078,4,128,0.168,0.046
291,0.5,0.00087,1,128,0.185,0.0481
385,0.4,0.00098,2,16,0.183,0.0482
136,0.1,0.001,2,128,0.183,0.0483
357,0.4,0.00096,4,64,0.181,0.0485
405,0.5,0.00065,1,16,0.186,0.0487
450,0.5,0.00076,2,64,0.183,0.0489
463,0.5,0.00064,3,32,0.186,0.0491
236,0.3,0.00072,2,128,0.185,0.0494
